date,Factor_1,Factor_2,Is_Entry,Is_Exit
27-03-2020,0.028497512,0.192050355,0,1
30-03-2020,0.218996016,0.170308284,0,1
31-03-2020,0.757435909,0.14622519,0,0
01-04-2020,0.734576939,0.169192684,0,0
03-04-2020,0.609825796,0.149299491,0,0
07-04-2020,1.178630401,0.137039157,0,0
08-04-2020,1.26268294,0.159277933,0,0
09-04-2020,1.436016044,0.156319399,0,0
13-04-2020,1.197715314,0.144278236,0,0
15-04-2020,1.28449795,0.155439349,0,0
16-04-2020,1.275729201,0.140612168,0,0
17-04-2020,1.205435878,0.123535437,0,0
20-04-2020,1.409698488,0.132095094,0,0
21-04-2020,1.298166587,0.170283662,0,0
22-04-2020,1.030480066,0.145659908,0,0
23-04-2020,0.775492778,0.118177989,0,0
24-04-2020,0.491196148,0.104499848,0,1
27-04-2020,0.887098804,0.146647144,0,0
28-04-2020,1.252544022,0.212404323,1,0
29-04-2020,0.895857834,0.160504586,0,0
30-04-2020,0.973344094,0.117661389,0,0
04-05-2020,0.865898304,0.140393236,0,0
05-05-2020,1.334766668,0.209003778,1,0
06-05-2020,0.888984009,0.178166644,0,0
07-05-2020,0.869539108,0.184943285,0,0
08-05-2020,0.808131298,0.192490445,0,0
11-05-2020,0.329686876,0.118001177,0,1
12-05-2020,0.212107627,0.107324729,0,1
13-05-2020,0.174330489,0.083756631,0,1
14-05-2020,0.177904897,0.092261521,0,1
15-05-2020,0.018136901,0.066138953,0,1
18-05-2020,0.543951003,0.051327108,0,0
19-05-2020,0.719794558,0.020055474,0,0
20-05-2020,0.467038055,0.014679303,0,1
21-05-2020,0.356095874,0.019522014,0,1
22-05-2020,0.440088539,0.005183811,0,1
26-05-2020,1.015010351,0.088168827,0,0
27-05-2020,0.479268633,0.036572811,0,1
28-05-2020,0.483557826,0.039560961,0,1
29-05-2020,0.83981333,0.114743041,0,0
01-06-2020,1.247841338,0.172789465,0,0
02-06-2020,1.23797142,0.175003195,0,0
03-06-2020,1.099317588,0.170636634,0,0
04-06-2020,0.973081263,0.149418284,0,0
05-06-2020,0.811320618,0.144565719,0,0
08-06-2020,0.518757824,0.129449135,0,0
09-06-2020,0.426706046,0.093708051,0,1
10-06-2020,0.586425966,0.105446308,0,0
11-06-2020,0.469374237,0.080050635,0,1
12-06-2020,0.04629531,0.026916613,0,1
15-06-2020,0.124960112,0.003597783,0,1
16-06-2020,0.703410359,0.064244815,0,0
17-06-2020,1.145323886,0.116957131,0,0
18-06-2020,1.609733226,0.172359106,0,0
19-06-2020,1.414731951,0.15979135,0,0
22-06-2020,1.734090615,0.177687813,0,0
23-06-2020,1.293098264,0.123750143,0,0
24-06-2020,0.997749983,0.100972342,0,0
25-06-2020,0.861821937,0.102142264,0,0
26-06-2020,0.733271891,0.059827604,0,0
29-06-2020,0.647357846,0.062923866,0,0
30-06-2020,0.337133221,0.035798136,0,1
01-07-2020,0.679643526,0.072624394,0,0
02-07-2020,0.334875344,0.017073252,0,1
03-07-2020,0.474770417,0.037660451,0,1
06-07-2020,0.417104714,0.031123561,0,1
07-07-2020,0.398704901,0.041622486,0,1
08-07-2020,0.269886624,0.021862653,0,1
09-07-2020,0.236124971,0.032507628,0,1
10-07-2020,0.287840708,0.027703991,0,1
13-07-2020,0.069890083,0.006065256,0,1
14-07-2020,0.275738469,0.025559761,0,1
15-07-2020,0.365277948,0.035194176,0,1
16-07-2020,0.778003721,0.095444786,0,0
17-07-2020,1.425676672,0.119734994,0,0
20-07-2020,1.256677462,0.095434191,0,0
21-07-2020,0.661415134,0.019258651,0,0
22-07-2020,0.411443262,0.002925534,0,1
23-07-2020,0.223124169,0.024194631,0,1
24-07-2020,0.219505935,0.012391253,0,1
27-07-2020,0.318350874,0.007905165,0,1
28-07-2020,0.513448814,0.014737631,0,0
29-07-2020,0.215162311,0.009291339,0,1
30-07-2020,0.737372018,0.066969547,0,0
31-07-2020,0.206110276,0.01716351,0,1
03-08-2020,0.797535089,0.079996624,0,0
04-08-2020,0.207448092,0.024637876,0,1
05-08-2020,0.047977706,0.012430979,0,1
06-08-2020,0.266702558,0.027951649,0,1
07-08-2020,0.18642413,0.02519949,0,1
10-08-2020,0.168867931,0.019321337,0,1
11-08-2020,0.180782779,0.020465173,0,1
12-08-2020,0.111751108,0.021256305,0,1
13-08-2020,0.202567068,0.011971279,0,1
14-08-2020,0.025150963,0.015158545,0,1
17-08-2020,0.697928844,0.057806459,0,0
18-08-2020,0.64196611,0.052969842,0,0
19-08-2020,0.855644909,0.074108026,0,0
20-08-2020,0.582123918,0.052137416,0,0
21-08-2020,0.854433393,0.076169564,0,0
24-08-2020,0.743094981,0.066446885,0,0
25-08-2020,0.756050615,0.068751203,0,0
26-08-2020,0.86516175,0.079109075,0,0
27-08-2020,0.709261161,0.064248628,0,0
28-08-2020,0.720300921,0.067653411,0,0
31-08-2020,1.269577196,0.09912342,0,0
01-09-2020,1.031489274,0.07736067,0,0
02-09-2020,1.042800574,0.085591972,0,0
03-09-2020,1.057354687,0.090158159,0,0
04-09-2020,0.969252499,0.079389674,0,0
07-09-2020,0.805570447,0.064362219,0,0
08-09-2020,0.043466281,0.016141131,0,1
09-09-2020,0.027844321,0.025734732,0,1
10-09-2020,0.076757334,0.01276947,0,1
11-09-2020,0.135178092,0.002235167,0,1
14-09-2020,0.604847179,0.035857611,0,0
15-09-2020,0.163968743,0.027613635,0,1
16-09-2020,0.753972042,0.044784832,0,0
17-09-2020,0.138204941,0.02788536,0,1
18-09-2020,0.096200975,0.029473903,0,1
21-09-2020,0.711570764,0.05794674,0,0
22-09-2020,0.702919484,0.012237888,0,0
23-09-2020,1.339348625,0.030991259,0,0
24-09-2020,0.068426094,0.008309819,0,1
25-09-2020,0.302897745,0.026727993,0,1
28-09-2020,0.763046134,0.053501291,0,0
29-09-2020,1.430423394,0.095680625,0,0
30-09-2020,0.85159385,0.070354925,0,0
01-10-2020,0.799871344,0.015621715,0,0
05-10-2020,1.592606993,0.083944171,0,0
06-10-2020,1.73667949,0.105024393,0,0
07-10-2020,1.961698589,0.140513541,0,0
08-10-2020,1.823123809,0.150879525,0,0
09-10-2020,1.135107903,0.081719382,0,0
12-10-2020,1.530881106,0.114772248,0,0
13-10-2020,1.669205897,0.148650328,0,0
14-10-2020,1.268982599,0.110932542,0,0
15-10-2020,1.788473357,0.178034816,0,0
16-10-2020,0.708818422,0.027165344,0,0
19-10-2020,0.580300498,0.045766161,0,0
20-10-2020,0.471859733,0.021124805,0,1
21-10-2020,0.066184583,0.022002342,0,1
22-10-2020,0.317867729,0.030044119,0,1
23-10-2020,0.023899409,0.005065047,0,1
26-10-2020,1.30175431,0.114612794,0,0
27-10-2020,1.334660183,0.124448492,0,0
28-10-2020,1.447966899,0.143407497,0,0
29-10-2020,0.254136547,0.035872964,0,1
30-10-2020,0.625358975,0.010477764,0,0
02-11-2020,1.030077168,0.075921726,0,0
03-11-2020,0.790142168,0.06173475,0,0
04-11-2020,0.936462842,0.077348988,0,0
05-11-2020,2.401460867,0.138403045,0,0
06-11-2020,1.904476225,0.11172176,0,0
09-11-2020,1.679582253,0.086247151,0,0
10-11-2020,1.23501458,0.010019574,0,0
11-11-2020,1.16616902,0.00181805,0,0
12-11-2020,0.929230954,0.029190427,0,0
13-11-2020,1.078892856,0.013997356,0,0
14-11-2020,1.010804249,0.01513878,0,0
17-11-2020,1.146023869,0.061217674,0,0
18-11-2020,0.680808192,0.006236722,0,0
19-11-2020,0.735938048,0.01809996,0,0
20-11-2020,0.726216259,0.017952491,0,0
23-11-2020,0.453295262,0.037345452,0,1
24-11-2020,0.417517717,0.032275082,0,1
25-11-2020,0.264753373,0.042358052,0,1
26-11-2020,0.403053667,0.018199205,0,1
27-11-2020,0.251575613,0.014430581,0,1
01-12-2020,0.154333789,0.045978151,0,1
02-12-2020,0.199107852,0.106820413,0,1
03-12-2020,0.018671693,0.098419902,0,1
04-12-2020,0.533675025,0.176011001,0,0
07-12-2020,0.854246596,0.22851853,0,0
08-12-2020,0.730303428,0.192539005,0,0
09-12-2020,1.174949608,0.248035107,1,0
10-12-2020,1.012331622,0.193489037,0,0
11-12-2020,1.103690378,0.217217093,1,0
14-12-2020,0.399439762,0.169984577,0,1
15-12-2020,0.438596179,0.154709028,0,1
16-12-2020,0.190154811,0.136740298,0,1
17-12-2020,0.468892684,0.149743334,0,1
18-12-2020,0.213829182,0.086903878,0,1
21-12-2020,0.026705559,0.001547958,0,1
22-12-2020,0.101944811,0.006721556,0,1
23-12-2020,0.252354799,0.019264255,0,1
24-12-2020,0.485980985,0.041860211,0,1
28-12-2020,0.741961655,0.064822752,0,0
29-12-2020,0.503308037,0.044711244,0,0
30-12-2020,0.20663275,0.019974203,0,1
31-12-2020,0.015608787,0.002018507,0,1
01-01-2021,0.346150572,0.022831038,0,1
04-01-2021,0.356132346,0.032145996,0,1
05-01-2021,0.06270849,0.003712187,0,1
06-01-2021,0.773403111,0.065325226,0,0
07-01-2021,0.57783828,0.050478203,0,0
08-01-2021,0.757115083,0.064901541,0,0
11-01-2021,0.858802652,0.075250576,0,0
12-01-2021,1.448808825,0.129191098,0,0
13-01-2021,1.910441607,0.177001237,0,0
14-01-2021,1.504472966,0.150561983,0,0
